Transaction_ID,Date,Month,Month_Name,Quarter,State,Platform,Category,Age_Group,Gender,Customer_Segment,Device_Type,Payment_Method,Delivery_Option,Order_Value_NGN,Quantity,Total_Value_NGN,Discount_Pct,Discount_Amount_NGN,Final_Value_NGN,Delivery_Days,Customer_Satisfaction,Repeat_Purchase_Likelihood,Returned,Platform_Rating
NM-10129,2023-11-09,11,Nov,Q4,Kaduna,Konga,Health & Beauty,18-24,Female,Young Professional,Mobile,Card,Next Day,23625.66,1,23625.66,15,3543.85,20081.81,1,5,Medium,0,4.3
NM-10130,2023-11-04,11,Nov,Q4,Anambra,Konga,Automobile Parts,35-44,Male,Business Owner,Desktop,USSD,2-3 Days,123201.51,2,246403.02,15,36960.45,209442.57,3,4,High,0,4.7
NM-10131,2023-07-04,7,Jul,Q3,Rivers,Konga,Fashion,25-34,Female,Student,Mobile,Card,Same Day,42224.82,1,42224.82,20,8444.96,33779.86,1,5,High,0,3.6
NM-10132,2023-11-24,11,Nov,Q4,Oyo,Jumia,Electronics,25-34,Male,Young Professional,Mobile,Cash on Delivery,Standard (5-7 Days),194749.21,2,389498.42,0,0.0,389498.42,7,4,Medium,0,4.5
NM-10133,2023-01-29,1,Jan,Q1,Abuja,Jumia,Automobile Parts,18-24,Female,Young Professional,Mobile,Card,Standard (5-7 Days),67383.69,2,134767.38,15,20215.11,114552.27,7,1,Low,0,3.8
NM-10134,2023-02-02,2,Feb,Q1,Kaduna,Jumia,Health & Beauty,45-54,Male,Student,Desktop,Transfer,2-3 Days,11045.86,5,55229.3,10,5522.93,49706.37,3,4,High,0,3.6
NM-10135,2023-01-24,1,Jan,Q1,Borno,PayPorte,Fashion,45-54,Male,Student,Desktop,Card,Same Day,22814.11,1,22814.11,0,0.0,22814.11,1,4,High,0,3.2
NM-10136,2023-08-27,8,Aug,Q3,Kaduna,Jumia,Electronics,55+,Male,Business Owner,Mobile,Card,Same Day,305120.8,2,610241.6,5,30512.08,579729.52,1,5,High,0,4.0
NM-10137,2023-04-30,4,Apr,Q2,Delta,WhatsApp Commerce,Home & Living,18-24,Male,Young Professional,Desktop,Wallet,Next Day,67277.7,2,134555.4,10,13455.54,121099.86,1,5,High,0,3.4
NM-10138,2023-09-24,9,Sep,Q3,Rivers,Konga,Electronics,55+,Female,Business Owner,Mobile,Card,Same Day,153374.03,3,460122.09,5,23006.1,437115.99,1,3,High,0,4.1
NM-10139,2023-02-08,2,Feb,Q1,Kano,Jumia,Health & Beauty,25-34,Male,Business Owner,Desktop,USSD,2-3 Days,33165.53,1,33165.53,15,4974.83,28190.7,2,3,Medium,0,4.8
NM-10140,2023-12-27,12,Dec,Q4,Rivers,Konga,Books & Education,45-54,Male,Student,Desktop,USSD,Next Day,10907.85,1,10907.85,15,1636.18,9271.67,2,4,High,0,4.6
NM-10141,2023-03-13,3,Mar,Q1,Kano,Jumia,Automobile Parts,18-24,Male,Business Owner,Mobile,Cash on Delivery,Next Day,31319.03,1,31319.03,15,4697.85,26621.18,1,5,High,0,3.8
NM-10142,2023-06-19,6,Jun,Q2,Abuja,Jumia,Fashion,18-24,Female,Student,Desktop,Card,Next Day,8146.16,4,32584.64,0,0.0,32584.64,2,1,Low,0,4.6
NM-10143,2023-03-12,3,Mar,Q1,Lagos,Jiji,Home & Living,18-24,Male,Business Owner,Mobile,USSD,Standard (5-7 Days),53212.0,2,106424.0,15,15963.6,90460.4,6,4,High,0,4.8
NM-10144,2023-05-24,5,May,Q2,Enugu,Konga,Health & Beauty,18-24,Female,Young Professional,Mobile,Card,Next Day,4404.21,5,22021.05,10,2202.11,19818.94,1,4,High,0,4.5
NM-10145,2023-12-24,12,Dec,Q4,Rivers,Jiji,Automobile Parts,25-34,Male,Young Professional,Desktop,USSD,Next Day,76886.36,2,153772.72,15,23065.91,130706.81,2,5,High,1,4.1
NM-10146,2023-11-11,11,Nov,Q4,Kano,Konga,Fashion,25-34,Male,Student,Mobile,Transfer,Same Day,11461.5,1,11461.5,15,1719.22,9742.28,1,3,High,0,4.2
NM-10147,2023-08-12,8,Aug,Q3,Kaduna,WhatsApp Commerce,Sports & Fitness,25-34,Female,Retiree,Mobile,Cash on Delivery,2-3 Days,64180.03,4,256720.12,10,25672.01,231048.11,3,4,High,0,3.6
NM-10148,2023-04-24,4,Apr,Q2,Kano,PayPorte,Automobile Parts,55+,Female,Student,Mobile,Wallet,2-3 Days,130812.18,1,130812.18,5,6540.61,124271.57,2,3,Medium,0,4.9
NM-10149,2023-01-01,1,Jan,Q1,Kaduna,Konga,Health & Beauty,25-34,Male,Business Owner,Mobile,Card,2-3 Days,4064.79,1,4064.79,5,203.24,3861.55,3,5,High,0,4.3
NM-10150,2023-03-29,3,Mar,Q1,Rivers,Jumia,Fashion,55+,Male,Young Professional,Mobile,Transfer,2-3 Days,40293.11,1,40293.11,0,0.0,40293.11,3,5,High,0,4.3
NM-10151,2023-10-04,10,Oct,Q4,Anambra,Jumia,Fashion,35-44,Female,Student,Mobile,USSD,Standard (5-7 Days),14141.12,1,14141.12,0,0.0,14141.12,7,3,Medium,0,3.6
NM-10152,2023-07-23,7,Jul,Q3,Borno,Konga,Fashion,25-34,Male,Retiree,Mobile,Transfer,Same Day,22779.67,3,68339.01,0,0.0,68339.01,1,5,High,0,3.8
NM-10153,2023-10-11,10,Oct,Q4,Oyo,Jiji,Food & Grocery,55+,Female,Homemaker,Mobile,Transfer,Standard (5-7 Days),3402.63,1,3402.63,10,340.26,3062.37,6,2,Medium,0,4.0
NM-10154,2023-04-19,4,Apr,Q2,Borno,PayPorte,Food & Grocery,55+,Male,Homemaker,Tablet,Transfer,Next Day,20594.6,1,20594.6,5,1029.73,19564.87,2,2,Low,1,3.2
NM-10155,2023-10-18,10,Oct,Q4,Enugu,Konga,Sports & Fitness,18-24,Male,Retiree,Mobile,USSD,Standard (5-7 Days),48682.99,2,97365.98,25,24341.49,73024.49,6,4,High,0,4.2
NM-10156,2023-06-19,6,Jun,Q2,Delta,Jumia,Health & Beauty,18-24,Female,Homemaker,Mobile,Cash on Delivery,Standard (5-7 Days),24941.7,1,24941.7,5,1247.09,23694.61,5,2,Low,1,4.8
NM-10157,2023-07-28,7,Jul,Q3,Rivers,Jumia,Books & Education,18-24,Male,Young Professional,Mobile,USSD,Same Day,11502.75,2,23005.5,20,4601.1,18404.4,1,4,Medium,0,3.5
NM-10158,2023-05-21,5,May,Q2,Rivers,Amazon Nigeria,Home & Living,45-54,Female,Business Owner,Mobile,Transfer,Same Day,47360.47,1,47360.47,5,2368.02,44992.45,1,5,Medium,0,4.2
NM-10159,2023-04-20,4,Apr,Q2,Kaduna,Konga,Health & Beauty,18-24,Female,Homemaker,Mobile,Transfer,Same Day,30356.11,2,60712.22,10,6071.22,54641.0,1,2,Medium,1,4.3
NM-10160,2023-06-04,6,Jun,Q2,Lagos,Jumia,Health & Beauty,25-34,Male,Retiree,Mobile,USSD,2-3 Days,24508.88,3,73526.64,5,3676.33,69850.31,2,5,High,0,3.9
NM-10161,2023-11-30,11,Nov,Q4,Abuja,Konga,Sports & Fitness,35-44,Female,Young Professional,Mobile,USSD,2-3 Days,26708.12,1,26708.12,15,4006.22,22701.9,3,3,Low,0,3.9
NM-10162,2023-12-18,12,Dec,Q4,Anambra,Konga,Electronics,25-34,Female,Business Owner,Mobile,Wallet,Next Day,194102.76,2,388205.52,20,77641.1,310564.42,2,5,Medium,0,3.8
NM-10163,2023-08-04,8,Aug,Q3,Enugu,Shoprite Online,Food & Grocery,25-34,Female,Business Owner,Mobile,USSD,2-3 Days,20126.08,1,20126.08,0,0.0,20126.08,3,4,High,1,3.1
NM-10164,2023-07-29,7,Jul,Q3,Rivers,Jiji,Automobile Parts,18-24,Male,Young Professional,Mobile,Wallet,Next Day,197540.79,3,592622.37,30,177786.71,414835.66,1,4,High,1,3.6
NM-10165,2023-02-15,2,Feb,Q1,Lagos,Jumia,Health & Beauty,25-34,Female,Young Professional,Desktop,Card,Next Day,6705.69,1,6705.69,5,335.28,6370.41,2,1,Medium,1,4.2
NM-10166,2023-10-29,10,Oct,Q4,Lagos,PayPorte,Home & Living,18-24,Male,Student,Mobile,Card,2-3 Days,40203.24,1,40203.24,0,0.0,40203.24,3,4,High,0,3.3
NM-10167,2023-03-09,3,Mar,Q1,Delta,Konga,Home & Living,25-34,Female,Retiree,Tablet,Card,Same Day,29286.88,1,29286.88,10,2928.69,26358.19,1,5,High,0,3.6
NM-10168,2023-08-31,8,Aug,Q3,Lagos,PayPorte,Electronics,25-34,Female,Retiree,Mobile,Transfer,Standard (5-7 Days),250125.85,1,250125.85,10,25012.58,225113.27,6,3,High,0,4.2
NM-10169,2023-04-12,4,Apr,Q2,Kano,Konga,Fashion,18-24,Male,Young Professional,Mobile,Wallet,2-3 Days,28578.08,2,57156.16,15,8573.42,48582.74,3,4,High,1,4.1
NM-10170,2023-02-08,2,Feb,Q1,Rivers,Jumia,Fashion,55+,Female,Business Owner,Desktop,Transfer,Next Day,33389.67,1,33389.67,0,0.0,33389.67,1,4,High,0,4.0
NM-10171,2023-03-29,3,Mar,Q1,Kaduna,Konga,Fashion,45-54,Female,Business Owner,Desktop,Transfer,Same Day,16803.75,3,50411.25,25,12602.81,37808.44,1,5,High,1,4.0
NM-10172,2023-09-05,9,Sep,Q3,Delta,Shoprite Online,Food & Grocery,18-24,Female,Retiree,Mobile,Transfer,Next Day,20452.09,2,40904.18,0,0.0,40904.18,2,1,Medium,0,4.8
NM-10173,2023-10-23,10,Oct,Q4,Abuja,Amazon Nigeria,Books & Education,35-44,Female,Student,Mobile,Transfer,Same Day,11270.94,1,11270.94,25,2817.74,8453.2,1,5,High,0,3.8
NM-10174,2023-02-08,2,Feb,Q1,Enugu,Amazon Nigeria,Electronics,45-54,Female,Retiree,Mobile,Transfer,Standard (5-7 Days),266729.05,1,266729.05,5,13336.45,253392.6,7,2,Low,0,4.6
NM-10175,2023-10-13,10,Oct,Q4,Delta,Jumia,Books & Education,18-24,Male,Young Professional,Mobile,Cash on Delivery,Same Day,8912.83,3,26738.49,15,4010.77,22727.72,1,5,High,0,4.1
NM-10176,2023-06-24,6,Jun,Q2,Enugu,Shoprite Online,Books & Education,35-44,Male,Student,Mobile,USSD,Same Day,6294.38,2,12588.76,15,1888.31,10700.45,1,5,High,0,3.8
NM-10177,2023-06-23,6,Jun,Q2,Oyo,Jiji,Home & Living,25-34,Female,Business Owner,Desktop,Transfer,Next Day,17393.06,1,17393.06,20,3478.61,13914.45,1,5,Medium,0,4.1
NM-10178,2023-03-07,3,Mar,Q1,Lagos,Jiji,Automobile Parts,35-44,Male,Retiree,Mobile,Wallet,Next Day,27882.36,2,55764.72,10,5576.47,50188.25,2,5,High,0,4.9
NM-10179,2023-06-10,6,Jun,Q2,Oyo,Konga,Food & Grocery,45-54,Female,Homemaker,Mobile,Card,2-3 Days,18373.11,4,73492.44,10,7349.24,66143.2,2,4,High,0,4.8
NM-10180,2023-12-30,12,Dec,Q4,Kano,Jiji,Sports & Fitness,35-44,Female,Homemaker,Desktop,Transfer,Standard (5-7 Days),35728.32,2,71456.64,15,10718.5,60738.14,5,3,Low,0,4.3
NM-10181,2023-10-05,10,Oct,Q4,Rivers,Jumia,Food & Grocery,35-44,Male,Student,Mobile,USSD,Same Day,2743.05,3,8229.15,0,0.0,8229.15,1,5,High,0,4.0
NM-10182,2023-08-15,8,Aug,Q3,Anambra,Instagram Shop,Sports & Fitness,35-44,Female,Homemaker,Mobile,Wallet,Next Day,67078.74,3,201236.22,15,30185.43,171050.79,2,5,Medium,0,3.4
NM-10183,2023-05-11,5,May,Q2,Kano,Shoprite Online,Fashion,18-24,Female,Homemaker,Mobile,Cash on Delivery,2-3 Days,3237.1,1,3237.1,25,809.27,2427.83,2,4,High,0,3.6
NM-10184,2023-10-06,10,Oct,Q4,Borno,Jiji,Fashion,35-44,Male,Homemaker,Mobile,USSD,Same Day,25555.51,1,25555.51,0,0.0,25555.51,1,5,High,0,5.0
NM-10185,2023-06-14,6,Jun,Q2,Lagos,Jumia,Sports & Fitness,55+,Female,Retiree,Mobile,Cash on Delivery,Next Day,32984.32,2,65968.64,0,0.0,65968.64,2,5,High,0,3.6
NM-10186,2023-11-19,11,Nov,Q4,Rivers,Konga,Fashion,35-44,Male,Young Professional,Mobile,Transfer,Same Day,35490.46,3,106471.38,5,5323.57,101147.81,1,5,High,0,3.6
NM-10187,2023-10-22,10,Oct,Q4,Kano,Jumia,Sports & Fitness,35-44,Female,Young Professional,Mobile,Transfer,Next Day,66443.07,3,199329.21,5,9966.46,189362.75,2,3,Medium,0,4.4
NM-10188,2023-11-07,11,Nov,Q4,Abuja,Shoprite Online,Electronics,25-34,Female,Young Professional,Mobile,Transfer,Same Day,43979.25,2,87958.5,5,4397.93,83560.57,1,4,High,0,4.7
NM-10189,2023-03-05,3,Mar,Q1,Oyo,WhatsApp Commerce,Food & Grocery,35-44,Female,Young Professional,Mobile,USSD,Same Day,2960.78,2,5921.56,5,296.08,5625.48,1,5,High,0,4.3
NM-10190,2023-10-18,10,Oct,Q4,Enugu,Jumia,Food & Grocery,18-24,Female,Retiree,Mobile,Card,Next Day,21601.78,3,64805.34,25,16201.33,48604.01,2,4,Medium,0,4.0
NM-10191,2023-10-27,10,Oct,Q4,Rivers,Jumia,Fashion,35-44,Male,Retiree,Mobile,Card,2-3 Days,9400.59,2,18801.18,15,2820.18,15981.0,2,3,High,0,3.9
NM-10192,2023-11-27,11,Nov,Q4,Kaduna,Jumia,Sports & Fitness,25-34,Male,Retiree,Mobile,Cash on Delivery,2-3 Days,50103.7,3,150311.1,20,30062.22,120248.88,2,4,High,1,4.3
NM-10193,2023-07-20,7,Jul,Q3,Borno,Jiji,Home & Living,35-44,Male,Homemaker,Mobile,Transfer,Standard (5-7 Days),30680.26,2,61360.52,15,9204.08,52156.44,6,3,Low,0,3.0
NM-10194,2023-03-16,3,Mar,Q1,Rivers,Amazon Nigeria,Food & Grocery,35-44,Female,Business Owner,Mobile,Wallet,Next Day,18926.16,1,18926.16,5,946.31,17979.85,1,3,Medium,0,3.4
NM-10195,2023-05-21,5,May,Q2,Kaduna,Konga,Books & Education,35-44,Female,Student,Mobile,Transfer,Same Day,12770.78,1,12770.78,10,1277.08,11493.7,1,5,High,0,4.8
NM-10196,2023-03-26,3,Mar,Q1,Rivers,Jiji,Sports & Fitness,25-34,Male,Business Owner,Mobile,USSD,Same Day,21479.3,1,21479.3,0,0.0,21479.3,1,5,Medium,0,4.6
NM-10197,2023-10-21,10,Oct,Q4,Abuja,Konga,Books & Education,18-24,Male,Retiree,Mobile,Cash on Delivery,Standard (5-7 Days),9496.69,1,9496.69,10,949.67,8547.02,5,2,Medium,0,4.4
NM-10198,2023-11-04,11,Nov,Q4,Oyo,Instagram Shop,Home & Living,18-24,Female,Student,Mobile,Cash on Delivery,Standard (5-7 Days),21411.9,2,42823.8,15,6423.57,36400.23,7,3,High,0,3.1
NM-10199,2023-04-01,4,Apr,Q2,Anambra,Konga,Fashion,45-54,Female,Young Professional,Mobile,Transfer,Standard (5-7 Days),22986.51,2,45973.02,0,0.0,45973.02,6,3,High,0,4.7
NM-10200,2023-07-15,7,Jul,Q3,Anambra,Jiji,Sports & Fitness,55+,Female,Business Owner,Mobile,Transfer,Next Day,30639.35,3,91918.05,20,18383.61,73534.44,1,4,High,0,4.2
NM-10201,2023-04-16,4,Apr,Q2,Enugu,Konga,Home & Living,25-34,Male,Homemaker,Mobile,Transfer,Same Day,84093.17,1,84093.17,5,4204.66,79888.51,1,5,High,0,4.8
NM-10202,2023-05-10,5,May,Q2,Anambra,Shoprite Online,Automobile Parts,25-34,Female,Retiree,Desktop,Wallet,Next Day,197793.59,2,395587.18,15,59338.08,336249.1,2,2,Medium,0,4.0
NM-10203,2023-11-04,11,Nov,Q4,Kaduna,Shoprite Online,Electronics,45-54,Male,Business Owner,Mobile,Card,Same Day,160851.44,1,160851.44,0,0.0,160851.44,1,5,High,0,4.4
NM-10204,2023-09-19,9,Sep,Q3,Borno,Jumia,Food & Grocery,18-24,Female,Homemaker,Mobile,Cash on Delivery,2-3 Days,13863.71,1,13863.71,0,0.0,13863.71,3,4,Medium,0,4.4
NM-10205,2023-10-26,10,Oct,Q4,Anambra,Jiji,Electronics,35-44,Female,Business Owner,Desktop,Transfer,2-3 Days,131611.91,4,526447.64,0,0.0,526447.64,3,4,High,0,3.1
NM-10206,2023-10-16,10,Oct,Q4,Oyo,Konga,Fashion,35-44,Female,Student,Tablet,Wallet,2-3 Days,23312.46,1,23312.46,5,1165.62,22146.84,3,5,Medium,0,3.8
NM-10207,2023-12-11,12,Dec,Q4,Rivers,Shoprite Online,Automobile Parts,25-34,Male,Retiree,Mobile,USSD,2-3 Days,151767.32,1,151767.32,10,15176.73,136590.59,3,4,Medium,1,4.4
NM-10208,2023-11-13,11,Nov,Q4,Rivers,Konga,Home & Living,25-34,Female,Business Owner,Desktop,Card,Next Day,45943.15,2,91886.3,0,0.0,91886.3,1,2,Medium,0,4.7
NM-10209,2023-03-07,3,Mar,Q1,Borno,Amazon Nigeria,Books & Education,25-34,Female,Retiree,Tablet,Card,2-3 Days,2231.0,2,4462.0,5,223.1,4238.9,3,5,High,0,4.0
NM-10210,2023-04-06,4,Apr,Q2,Kaduna,PayPorte,Electronics,25-34,Female,Business Owner,Mobile,Card,2-3 Days,198768.74,1,198768.74,5,9938.44,188830.3,3,4,High,0,4.7
NM-10211,2023-07-15,7,Jul,Q3,Oyo,Konga,Food & Grocery,45-54,Female,Retiree,Mobile,Wallet,2-3 Days,6509.45,3,19528.35,15,2929.25,16599.1,2,4,High,0,3.9
NM-10212,2023-11-19,11,Nov,Q4,Delta,Jumia,Electronics,25-34,Male,Retiree,Mobile,Cash on Delivery,Same Day,47261.13,2,94522.26,0,0.0,94522.26,1,2,Medium,0,4.3
NM-10213,2023-02-10,2,Feb,Q1,Kano,WhatsApp Commerce,Health & Beauty,35-44,Male,Young Professional,Mobile,USSD,Standard (5-7 Days),14884.81,1,14884.81,10,1488.48,13396.33,7,4,High,0,4.7
NM-10214,2023-08-16,8,Aug,Q3,Abuja,Jumia,Sports & Fitness,35-44,Male,Retiree,Mobile,Card,2-3 Days,63354.03,4,253416.12,15,38012.42,215403.7,3,3,Low,0,4.7
NM-10215,2023-02-12,2,Feb,Q1,Abuja,Jumia,Automobile Parts,18-24,Male,Young Professional,Mobile,Transfer,Same Day,27954.25,2,55908.5,0,0.0,55908.5,1,4,High,0,3.5
NM-10216,2023-12-24,12,Dec,Q4,Kaduna,Amazon Nigeria,Sports & Fitness,25-34,Male,Business Owner,Mobile,Cash on Delivery,2-3 Days,44985.86,2,89971.72,5,4498.59,85473.13,3,4,Medium,0,3.8
NM-10217,2023-12-19,12,Dec,Q4,Kano,Jumia,Electronics,25-34,Female,Homemaker,Desktop,Wallet,2-3 Days,323899.61,4,1295598.44,5,64779.92,1230818.52,3,4,High,0,4.1
NM-10218,2023-11-10,11,Nov,Q4,Rivers,Jumia,Automobile Parts,35-44,Female,Homemaker,Mobile,Cash on Delivery,Standard (5-7 Days),163054.39,2,326108.78,0,0.0,326108.78,5,4,Medium,0,3.9
NM-10219,2023-05-18,5,May,Q2,Borno,Konga,Sports & Fitness,18-24,Male,Young Professional,Mobile,Transfer,Same Day,13502.98,1,13502.98,0,0.0,13502.98,1,5,High,0,4.1
NM-10220,2023-05-09,5,May,Q2,Lagos,Konga,Food & Grocery,25-34,Male,Homemaker,Mobile,Transfer,Same Day,20796.77,3,62390.31,0,0.0,62390.31,1,4,Medium,0,4.4
NM-10221,2023-04-12,4,Apr,Q2,Rivers,Konga,Health & Beauty,25-34,Female,Young Professional,Mobile,USSD,Same Day,14213.87,1,14213.87,10,1421.39,12792.48,1,5,High,0,3.8
NM-10222,2023-11-13,11,Nov,Q4,Lagos,Jiji,Books & Education,18-24,Male,Student,Mobile,Wallet,Next Day,6068.7,4,24274.8,15,3641.22,20633.58,1,5,High,0,3.5
NM-10223,2023-01-21,1,Jan,Q1,Enugu,Shoprite Online,Sports & Fitness,25-34,Male,Retiree,Desktop,Cash on Delivery,Standard (5-7 Days),40882.96,1,40882.96,0,0.0,40882.96,7,2,Medium,1,4.8
NM-10224,2023-09-17,9,Sep,Q3,Enugu,Jumia,Food & Grocery,25-34,Female,Business Owner,Mobile,Cash on Delivery,2-3 Days,10718.0,1,10718.0,0,0.0,10718.0,2,4,High,0,4.1
NM-10225,2023-01-23,1,Jan,Q1,Enugu,Jumia,Health & Beauty,18-24,Female,Homemaker,Mobile,USSD,Same Day,29643.78,1,29643.78,20,5928.76,23715.02,1,4,High,0,4.3
NM-10226,2023-09-09,9,Sep,Q3,Borno,Jumia,Sports & Fitness,55+,Male,Homemaker,Mobile,Card,Same Day,74558.68,3,223676.04,5,11183.8,212492.24,1,5,High,0,4.3
NM-10227,2023-07-17,7,Jul,Q3,Enugu,Jumia,Fashion,18-24,Male,Young Professional,Mobile,USSD,Same Day,10957.34,1,10957.34,0,0.0,10957.34,1,3,High,0,4.4
NM-10228,2023-06-30,6,Jun,Q2,Abuja,Jumia,Food & Grocery,25-34,Female,Retiree,Mobile,Wallet,Next Day,22757.15,2,45514.3,30,13654.29,31860.01,2,4,High,0,4.5
NM-10229,2023-09-23,9,Sep,Q3,Oyo,Konga,Books & Education,55+,Female,Young Professional,Tablet,Cash on Delivery,Same Day,3323.66,3,9970.98,0,0.0,9970.98,1,2,Low,0,4.7
NM-10230,2023-05-12,5,May,Q2,Kano,Jumia,Books & Education,45-54,Male,Business Owner,Mobile,USSD,2-3 Days,12449.5,1,12449.5,5,622.48,11827.02,2,3,Medium,0,4.4
NM-10231,2023-06-21,6,Jun,Q2,Abuja,Jiji,Health & Beauty,18-24,Male,Business Owner,Desktop,Transfer,Standard (5-7 Days),13807.73,3,41423.19,5,2071.16,39352.03,7,3,High,0,4.6
NM-10232,2023-01-26,1,Jan,Q1,Anambra,Jumia,Electronics,25-34,Male,Young Professional,Mobile,USSD,2-3 Days,240667.81,5,1203339.05,25,300834.76,902504.29,2,3,Medium,0,4.2
NM-10233,2023-04-12,4,Apr,Q2,Lagos,Jiji,Health & Beauty,35-44,Female,Business Owner,Mobile,Transfer,Next Day,18355.49,2,36710.98,0,0.0,36710.98,1,4,High,0,3.2
NM-10234,2023-06-29,6,Jun,Q2,Anambra,Konga,Sports & Fitness,35-44,Male,Business Owner,Mobile,Card,Same Day,50832.8,5,254164.0,5,12708.2,241455.8,1,5,High,0,3.6
NM-10235,2023-04-18,4,Apr,Q2,Lagos,Jumia,Food & Grocery,25-34,Male,Student,Mobile,USSD,2-3 Days,19020.3,1,19020.3,10,1902.03,17118.27,3,4,High,0,4.4
NM-10236,2023-01-05,1,Jan,Q1,Lagos,Jumia,Electronics,18-24,Female,Retiree,Mobile,USSD,2-3 Days,37310.26,2,74620.52,10,7462.05,67158.47,2,3,High,0,4.2
NM-10237,2023-12-31,12,Dec,Q4,Abuja,Instagram Shop,Books & Education,25-34,Male,Homemaker,Mobile,Wallet,Next Day,1790.09,1,1790.09,10,179.01,1611.08,2,4,High,0,3.6
NM-10238,2023-07-21,7,Jul,Q3,Enugu,Jumia,Electronics,25-34,Male,Young Professional,Desktop,USSD,2-3 Days,235072.14,1,235072.14,5,11753.61,223318.53,3,4,High,0,3.7
NM-10239,2023-03-16,3,Mar,Q1,Kano,Jiji,Home & Living,25-34,Female,Retiree,Mobile,Card,Next Day,80466.65,2,160933.3,0,0.0,160933.3,1,4,High,0,4.8
NM-10240,2023-04-05,4,Apr,Q2,Anambra,WhatsApp Commerce,Health & Beauty,35-44,Male,Young Professional,Desktop,Cash on Delivery,Next Day,3351.44,5,16757.2,10,1675.72,15081.48,1,5,High,0,4.0
NM-10241,2023-01-17,1,Jan,Q1,Borno,Konga,Sports & Fitness,18-24,Male,Young Professional,Desktop,Card,Standard (5-7 Days),35052.78,4,140211.12,20,28042.22,112168.9,7,3,Medium,0,4.7
NM-10242,2023-07-14,7,Jul,Q3,Delta,Amazon Nigeria,Books & Education,25-34,Male,Young Professional,Desktop,USSD,Standard (5-7 Days),11222.71,1,11222.71,25,2805.68,8417.03,6,3,High,0,3.5
NM-10243,2023-06-05,6,Jun,Q2,Enugu,Konga,Electronics,25-34,Male,Business Owner,Mobile,Wallet,Next Day,274181.8,1,274181.8,0,0.0,274181.8,2,4,High,0,3.6
NM-10244,2023-12-31,12,Dec,Q4,Borno,Instagram Shop,Food & Grocery,18-24,Female,Student,Mobile,Cash on Delivery,Same Day,22603.28,3,67809.84,0,0.0,67809.84,1,5,High,0,3.2
NM-10245,2023-12-04,12,Dec,Q4,Anambra,PayPorte,Food & Grocery,45-54,Female,Student,Mobile,Cash on Delivery,Next Day,21841.47,1,21841.47,0,0.0,21841.47,1,4,High,0,3.2
NM-10246,2023-01-03,1,Jan,Q1,Kano,WhatsApp Commerce,Electronics,25-34,Female,Retiree,Desktop,Wallet,Standard (5-7 Days),218674.62,1,218674.62,0,0.0,218674.62,6,3,High,0,4.8
NM-10247,2023-12-08,12,Dec,Q4,Oyo,Jiji,Home & Living,18-24,Female,Young Professional,Mobile,Transfer,2-3 Days,71480.66,2,142961.32,5,7148.07,135813.25,2,4,High,0,4.4
NM-10248,2023-07-08,7,Jul,Q3,Borno,Jiji,Food & Grocery,18-24,Male,Business Owner,Desktop,Cash on Delivery,Same Day,22643.18,3,67929.54,15,10189.43,57740.11,1,3,High,0,4.1
NM-10249,2023-12-28,12,Dec,Q4,Enugu,Jumia,Home & Living,25-34,Female,Homemaker,Mobile,Wallet,Same Day,38026.54,2,76053.08,5,3802.65,72250.43,1,5,High,0,4.3
NM-10250,2023-07-31,7,Jul,Q3,Oyo,WhatsApp Commerce,Electronics,35-44,Female,Young Professional,Mobile,Transfer,Next Day,30239.88,1,30239.88,15,4535.98,25703.9,1,4,High,0,4.0
NM-10251,2023-06-23,6,Jun,Q2,Kaduna,Shoprite Online,Fashion,45-54,Male,Business Owner,Mobile,USSD,Same Day,41735.75,1,41735.75,5,2086.79,39648.96,1,4,High,1,3.9
NM-10252,2023-07-01,7,Jul,Q3,Anambra,Instagram Shop,Electronics,25-34,Female,Homemaker,Mobile,Wallet,Same Day,37181.37,1,37181.37,15,5577.21,31604.16,1,5,High,0,3.2
NM-10253,2023-06-04,6,Jun,Q2,Oyo,PayPorte,Sports & Fitness,45-54,Male,Young Professional,Mobile,Transfer,Standard (5-7 Days),20426.63,1,20426.63,0,0.0,20426.63,5,3,Low,0,4.0
NM-10254,2023-09-22,9,Sep,Q3,Rivers,Konga,Books & Education,35-44,Male,Retiree,Mobile,Wallet,Next Day,10635.68,1,10635.68,15,1595.35,9040.33,2,5,High,0,4.6
NM-10255,2023-04-18,4,Apr,Q2,Kaduna,Konga,Electronics,35-44,Male,Homemaker,Mobile,Transfer,Same Day,122494.92,1,122494.92,0,0.0,122494.92,1,3,Low,0,4.3
NM-10256,2023-06-09,6,Jun,Q2,Enugu,Jumia,Sports & Fitness,35-44,Male,Young Professional,Mobile,Wallet,2-3 Days,50607.98,1,50607.98,5,2530.4,48077.58,2,5,High,0,4.4
NM-10257,2023-10-01,10,Oct,Q4,Borno,Jiji,Books & Education,35-44,Female,Retiree,Mobile,Wallet,Next Day,2560.37,4,10241.48,15,1536.22,8705.26,1,5,High,0,3.9
NM-10258,2023-06-19,6,Jun,Q2,Rivers,Instagram Shop,Food & Grocery,18-24,Female,Business Owner,Mobile,Wallet,Standard (5-7 Days),20141.91,3,60425.73,5,3021.29,57404.44,6,1,Medium,0,4.1
NM-10259,2023-07-31,7,Jul,Q3,Enugu,Jumia,Fashion,25-34,Male,Young Professional,Mobile,USSD,2-3 Days,13020.16,1,13020.16,0,0.0,13020.16,3,3,High,0,4.1
